..\datos\GKD-b_10_n25_m7.txt;35.6617;4.4;
..\datos\GKD-b_11_n50_m5.txt;15.2367;17.4;
..\datos\GKD-b_12_n50_m5.txt;16.9364;16.4;
..\datos\GKD-b_13_n50_m5.txt;18.2877;13.4;
..\datos\GKD-b_14_n50_m5.txt;15.6102;17;
..\datos\GKD-b_15_n50_m5.txt;14.2439;23.6;
..\datos\GKD-b_16_n50_m15.txt;122.267;69;
..\datos\GKD-b_17_n50_m15.txt;110.159;62.8;
..\datos\GKD-b_18_n50_m15.txt;89.5669;48.2;
..\datos\GKD-b_19_n50_m15.txt;106.384;49;
..\datos\GKD-b_1_n25_m2.txt;0;2;
..\datos\GKD-b_20_n50_m15.txt;87.2135;44.2;
..\datos\GKD-b_21_n100_m10.txt;45.9212;100.4;
..\datos\GKD-b_22_n100_m10.txt;34.4301;118.6;
..\datos\GKD-b_23_n100_m10.txt;42.048;131.8;
..\datos\GKD-b_24_n100_m10.txt;31.8571;77.2;
..\datos\GKD-b_25_n100_m10.txt;37.8112;117;
..\datos\GKD-b_26_n100_m30.txt;382.139;323.6;
..\datos\GKD-b_27_n100_m30.txt;282.265;423.2;
..\datos\GKD-b_28_n100_m30.txt;337.94;358.6;
..\datos\GKD-b_29_n100_m30.txt;346.523;354.2;
..\datos\GKD-b_2_n25_m2.txt;0;1.8;
..\datos\GKD-b_30_n100_m30.txt;310.049;335.4;
..\datos\GKD-b_31_n125_m12.txt;33.6075;443.8;
..\datos\GKD-b_32_n125_m12.txt;47.8165;185;
..\datos\GKD-b_33_n125_m12.txt;47.0347;297.8;
..\datos\GKD-b_34_n125_m12.txt;46.1035;190.2;
..\datos\GKD-b_35_n125_m12.txt;37.8909;355;
..\datos\GKD-b_36_n125_m37.txt;374.557;783;
..\datos\GKD-b_37_n125_m37.txt;429.505;787;
..\datos\GKD-b_38_n125_m37.txt;487.803;717.4;
..\datos\GKD-b_39_n125_m37.txt;363.015;713;
..\datos\GKD-b_3_n25_m2.txt;0;2;
..\datos\GKD-b_40_n125_m37.txt;431.608;556.6;
..\datos\GKD-b_41_n150_m15.txt;64.0391;422.8;
..\datos\GKD-b_42_n150_m15.txt;62.8639;387.2;
..\datos\GKD-b_43_n150_m15.txt;81.3328;451.2;
..\datos\GKD-b_44_n150_m15.txt;62.9713;431.6;
..\datos\GKD-b_45_n150_m15.txt;60.1306;432;
..\datos\GKD-b_46_n150_m45.txt;469.523;1707.4;
..\datos\GKD-b_47_n150_m45.txt;489.872;1183.8;
..\datos\GKD-b_48_n150_m45.txt;423.948;1588.4;
..\datos\GKD-b_49_n150_m45.txt;498.745;1481;
..\datos\GKD-b_4_n25_m2.txt;0;2;
..\datos\GKD-b_50_n150_m45.txt;642.416;1197.4;
..\datos\GKD-b_5_n25_m2.txt;0;2;
..\datos\GKD-b_6_n25_m7.txt;31.569;5.8;
..\datos\GKD-b_7_n25_m7.txt;33.0409;4.4;
..\datos\GKD-b_8_n25_m7.txt;34.5198;4.2;
..\datos\GKD-b_9_n25_m7.txt;36.9938;6.2;
